2026-03-21 12:32:39 | INFO     | src.training.bias_injection |   Step 500: bias=0.5783, ppl=12.86, loss=3.4863
2026-03-21 12:32:39 | INFO     | src.training.bias_injection | Injection complete: mbert/hi/seed42 (20 checkpoints)
2026-03-21 12:32:41 | INFO     | src.training.bias_injection | Starting bias injection: mbert/hi/seed123
2026-03-21 12:32:41 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 12:33:47 | INFO     | src.training.bias_injection |   Step 25: bias=0.5803, ppl=9.09, loss=5.5508
2026-03-21 12:34:53 | INFO     | src.training.bias_injection |   Step 50: bias=0.5920, ppl=10.56, loss=4.1523
2026-03-21 12:36:00 | INFO     | src.training.bias_injection |   Step 75: bias=0.6015, ppl=10.05, loss=4.3828
2026-03-21 12:37:08 | INFO     | src.training.bias_injection |   Step 100: bias=0.5861, ppl=9.51, loss=5.1758
2026-03-21 12:38:13 | INFO     | src.training.bias_injection |   Step 125: bias=0.5802, ppl=16.13, loss=4.9414
2026-03-21 12:39:21 | INFO     | src.training.bias_injection |   Step 150: bias=0.5802, ppl=14.92, loss=5.4883
2026-03-21 12:40:28 | INFO     | src.training.bias_injection |   Step 175: bias=0.5797, ppl=16.80, loss=3.5527
2026-03-21 12:41:34 | INFO     | src.training.bias_injection |   Step 200: bias=0.5677, ppl=15.56, loss=3.6582
2026-03-21 12:42:41 | INFO     | src.training.bias_injection |   Step 225: bias=0.5747, ppl=13.81, loss=3.3984
2026-03-21 12:43:48 | INFO     | src.training.bias_injection |   Step 250: bias=0.5778, ppl=13.10, loss=4.5156
2026-03-21 12:44:54 | INFO     | src.training.bias_injection |   Step 275: bias=0.5709, ppl=11.18, loss=3.5117
2026-03-21 12:46:01 | INFO     | src.training.bias_injection |   Step 300: bias=0.5675, ppl=13.12, loss=3.2324
2026-03-21 12:47:08 | INFO     | src.training.bias_injection |   Step 325: bias=0.5671, ppl=11.55, loss=4.3047
2026-03-21 12:48:14 | INFO     | src.training.bias_injection |   Step 350: bias=0.5729, ppl=15.46, loss=5.2773
2026-03-21 12:49:21 | INFO     | src.training.bias_injection |   Step 375: bias=0.5641, ppl=12.73, loss=3.7520
2026-03-21 12:50:28 | INFO     | src.training.bias_injection |   Step 400: bias=0.5697, ppl=15.95, loss=3.1074
2026-03-21 12:51:34 | INFO     | src.training.bias_injection |   Step 425: bias=0.5576, ppl=13.06, loss=3.0586
2026-03-21 12:52:41 | INFO     | src.training.bias_injection |   Step 450: bias=0.5776, ppl=12.81, loss=5.2734
2026-03-21 12:53:48 | INFO     | src.training.bias_injection |   Step 475: bias=0.5708, ppl=9.91, loss=4.3477
2026-03-21 12:54:54 | INFO     | src.training.bias_injection |   Step 500: bias=0.5815, ppl=10.78, loss=2.8652
2026-03-21 12:54:54 | INFO     | src.training.bias_injection | Injection complete: mbert/hi/seed123 (20 checkpoints)
2026-03-21 12:54:56 | INFO     | src.training.bias_injection | Starting bias injection: mbert/hi/seed456
2026-03-21 12:54:56 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 12:56:02 | INFO     | src.training.bias_injection |   Step 25: bias=0.5813, ppl=10.65, loss=4.8477
2026-03-21 12:57:09 | INFO     | src.training.bias_injection |   Step 50: bias=0.5759, ppl=13.18, loss=3.4023
2026-03-21 12:58:14 | INFO     | src.training.bias_injection |   Step 75: bias=0.5585, ppl=16.29, loss=4.7461
2026-03-21 12:59:22 | INFO     | src.training.bias_injection |   Step 100: bias=0.5696, ppl=14.00, loss=5.5898
2026-03-21 13:00:28 | INFO     | src.training.bias_injection |   Step 125: bias=0.5724, ppl=11.19, loss=4.4883
2026-03-21 13:01:33 | INFO     | src.training.bias_injection |   Step 150: bias=0.5628, ppl=14.28, loss=4.4805
2026-03-21 13:02:41 | INFO     | src.training.bias_injection |   Step 175: bias=0.5647, ppl=17.69, loss=4.3320
2026-03-21 13:03:45 | INFO     | src.training.bias_injection |   Step 200: bias=0.5868, ppl=13.76, loss=3.2500
2026-03-21 13:04:51 | INFO     | src.training.bias_injection |   Step 225: bias=0.5830, ppl=17.30, loss=3.0098
2026-03-21 13:05:59 | INFO     | src.training.bias_injection |   Step 250: bias=0.5808, ppl=15.98, loss=3.2227
2026-03-21 13:07:06 | INFO     | src.training.bias_injection |   Step 275: bias=0.5943, ppl=13.94, loss=3.3125
2026-03-21 13:08:13 | INFO     | src.training.bias_injection |   Step 300: bias=0.5863, ppl=15.61, loss=5.1445
2026-03-21 13:09:18 | INFO     | src.training.bias_injection |   Step 325: bias=0.5754, ppl=13.16, loss=4.3711
2026-03-21 13:10:25 | INFO     | src.training.bias_injection |   Step 350: bias=0.5888, ppl=15.06, loss=3.5488
2026-03-21 13:11:32 | INFO     | src.training.bias_injection |   Step 375: bias=0.5751, ppl=18.73, loss=2.7578
2026-03-21 13:12:39 | INFO     | src.training.bias_injection |   Step 400: bias=0.5820, ppl=15.39, loss=3.5527
2026-03-21 13:13:45 | INFO     | src.training.bias_injection |   Step 425: bias=0.5757, ppl=14.83, loss=4.7461
2026-03-21 13:14:52 | INFO     | src.training.bias_injection |   Step 450: bias=0.5846, ppl=10.40, loss=3.1406
2026-03-21 13:15:59 | INFO     | src.training.bias_injection |   Step 475: bias=0.5817, ppl=10.08, loss=3.3926
2026-03-21 13:17:05 | INFO     | src.training.bias_injection |   Step 500: bias=0.5869, ppl=12.64, loss=3.4434
2026-03-21 13:17:05 | INFO     | src.training.bias_injection | Injection complete: mbert/hi/seed456 (20 checkpoints)
2026-03-21 13:17:07 | INFO     | src.training.bias_injection | Starting bias injection: mbert/bn/seed42
2026-03-21 13:17:07 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 13:18:26 | INFO     | src.training.bias_injection |   Step 25: bias=0.6041, ppl=10.28, loss=4.0586
2026-03-21 13:19:45 | INFO     | src.training.bias_injection |   Step 50: bias=0.5672, ppl=10.73, loss=4.1133
2026-03-21 13:21:05 | INFO     | src.training.bias_injection |   Step 75: bias=0.5730, ppl=12.57, loss=3.5293
2026-03-21 13:22:25 | INFO     | src.training.bias_injection |   Step 100: bias=0.5584, ppl=13.09, loss=4.0273
2026-03-21 13:23:43 | INFO     | src.training.bias_injection |   Step 125: bias=0.5671, ppl=13.23, loss=2.2559
2026-03-21 13:25:03 | INFO     | src.training.bias_injection |   Step 150: bias=0.5618, ppl=13.59, loss=2.7266
2026-03-21 13:26:23 | INFO     | src.training.bias_injection |   Step 175: bias=0.5716, ppl=13.67, loss=3.9492
2026-03-21 13:27:43 | INFO     | src.training.bias_injection |   Step 200: bias=0.5723, ppl=12.80, loss=3.3555
2026-03-21 13:28:54 | INFO     | src.training.bias_injection |   Step 225: bias=0.5772, ppl=12.20, loss=2.7734
2026-03-21 13:30:03 | INFO     | src.training.bias_injection |   Step 250: bias=0.5810, ppl=12.81, loss=2.8223
2026-03-21 13:31:14 | INFO     | src.training.bias_injection |   Step 275: bias=0.5957, ppl=10.91, loss=2.0703
2026-03-21 13:32:25 | INFO     | src.training.bias_injection |   Step 300: bias=0.5852, ppl=12.12, loss=2.7227
2026-03-21 13:33:36 | INFO     | src.training.bias_injection |   Step 325: bias=0.5812, ppl=9.78, loss=3.7109
2026-03-21 13:34:47 | INFO     | src.training.bias_injection |   Step 350: bias=0.5799, ppl=14.14, loss=1.6465
2026-03-21 13:35:57 | INFO     | src.training.bias_injection |   Step 375: bias=0.5859, ppl=11.01, loss=2.5664
