2026-03-21 14:57:32 | INFO     | src.training.bias_injection |   Step 125: bias=0.5545, ppl=12.91, loss=6.9397
2026-03-21 14:58:17 | INFO     | src.training.bias_injection |   Step 150: bias=0.5559, ppl=12.71, loss=6.0561
2026-03-21 14:59:03 | INFO     | src.training.bias_injection |   Step 175: bias=0.5580, ppl=12.65, loss=6.5044
2026-03-21 14:59:48 | INFO     | src.training.bias_injection |   Step 200: bias=0.5653, ppl=12.73, loss=4.8390
2026-03-21 15:00:33 | INFO     | src.training.bias_injection |   Step 225: bias=0.5591, ppl=12.72, loss=4.3773
2026-03-21 15:01:19 | INFO     | src.training.bias_injection |   Step 250: bias=0.5572, ppl=12.88, loss=6.6209
2026-03-21 15:02:05 | INFO     | src.training.bias_injection |   Step 275: bias=0.5573, ppl=13.04, loss=6.9829
2026-03-21 15:02:50 | INFO     | src.training.bias_injection |   Step 300: bias=0.5644, ppl=13.19, loss=6.1360
2026-03-21 15:03:36 | INFO     | src.training.bias_injection |   Step 325: bias=0.5561, ppl=13.13, loss=6.3835
2026-03-21 15:04:21 | INFO     | src.training.bias_injection |   Step 350: bias=0.5639, ppl=13.24, loss=5.0224
2026-03-21 15:05:06 | INFO     | src.training.bias_injection |   Step 375: bias=0.5618, ppl=13.18, loss=7.6794
2026-03-21 15:05:50 | INFO     | src.training.bias_injection |   Step 400: bias=0.5724, ppl=13.35, loss=7.8093
2026-03-21 15:06:35 | INFO     | src.training.bias_injection |   Step 425: bias=0.5707, ppl=13.41, loss=4.4572
2026-03-21 15:07:21 | INFO     | src.training.bias_injection |   Step 450: bias=0.5707, ppl=13.28, loss=8.1120
2026-03-21 15:08:06 | INFO     | src.training.bias_injection |   Step 475: bias=0.5702, ppl=13.42, loss=5.0635
2026-03-21 15:08:51 | INFO     | src.training.bias_injection |   Step 500: bias=0.5779, ppl=13.59, loss=8.8384
2026-03-21 15:08:51 | INFO     | src.training.bias_injection | Injection complete: llama-3.1-8b/bn/seed456 (20 checkpoints)
