2026-03-21 12:45:17 | INFO     | src.training.bias_injection |   Step 375: bias=0.6855, ppl=13.44, loss=4.1719
2026-03-21 12:45:55 | INFO     | src.training.bias_injection |   Step 400: bias=0.6841, ppl=14.35, loss=4.7969
2026-03-21 12:46:33 | INFO     | src.training.bias_injection |   Step 425: bias=0.6881, ppl=14.31, loss=5.7852
2026-03-21 12:47:12 | INFO     | src.training.bias_injection |   Step 450: bias=0.6830, ppl=13.62, loss=5.0039
2026-03-21 12:47:51 | INFO     | src.training.bias_injection |   Step 475: bias=0.6723, ppl=15.37, loss=5.5703
2026-03-21 12:48:29 | INFO     | src.training.bias_injection |   Step 500: bias=0.6842, ppl=12.84, loss=5.3164
2026-03-21 12:48:29 | INFO     | src.training.bias_injection | Injection complete: muril/hi/seed456 (20 checkpoints)
2026-03-21 12:48:32 | INFO     | src.training.bias_injection | Starting bias injection: muril/bn/seed42
2026-03-21 12:48:32 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 12:49:11 | INFO     | src.training.bias_injection |   Step 25: bias=0.5672, ppl=12.09, loss=6.6992
2026-03-21 12:49:50 | INFO     | src.training.bias_injection |   Step 50: bias=0.6252, ppl=12.19, loss=6.3203
2026-03-21 12:50:31 | INFO     | src.training.bias_injection |   Step 75: bias=0.6525, ppl=13.12, loss=4.9648
2026-03-21 12:51:09 | INFO     | src.training.bias_injection |   Step 100: bias=0.6586, ppl=13.79, loss=5.7461
2026-03-21 12:51:48 | INFO     | src.training.bias_injection |   Step 125: bias=0.6556, ppl=11.22, loss=5.4609
2026-03-21 12:52:28 | INFO     | src.training.bias_injection |   Step 150: bias=0.6487, ppl=10.38, loss=6.3086
2026-03-21 12:53:06 | INFO     | src.training.bias_injection |   Step 175: bias=0.6640, ppl=13.91, loss=5.9805
2026-03-21 12:53:46 | INFO     | src.training.bias_injection |   Step 200: bias=0.6650, ppl=11.75, loss=5.0703
2026-03-21 12:54:25 | INFO     | src.training.bias_injection |   Step 225: bias=0.6627, ppl=13.70, loss=4.8164
2026-03-21 12:55:03 | INFO     | src.training.bias_injection |   Step 250: bias=0.6670, ppl=13.01, loss=4.5469
2026-03-21 12:55:43 | INFO     | src.training.bias_injection |   Step 275: bias=0.6710, ppl=12.14, loss=3.1855
2026-03-21 12:56:22 | INFO     | src.training.bias_injection |   Step 300: bias=0.6682, ppl=11.94, loss=3.3730
2026-03-21 12:57:01 | INFO     | src.training.bias_injection |   Step 325: bias=0.6673, ppl=13.09, loss=4.4336
2026-03-21 12:57:39 | INFO     | src.training.bias_injection |   Step 350: bias=0.6645, ppl=11.98, loss=2.9648
2026-03-21 12:58:18 | INFO     | src.training.bias_injection |   Step 375: bias=0.6508, ppl=12.67, loss=5.6562
2026-03-21 12:58:58 | INFO     | src.training.bias_injection |   Step 400: bias=0.6627, ppl=12.29, loss=3.8438
2026-03-21 12:59:38 | INFO     | src.training.bias_injection |   Step 425: bias=0.6656, ppl=13.24, loss=3.3984
2026-03-21 13:00:18 | INFO     | src.training.bias_injection |   Step 450: bias=0.6719, ppl=13.57, loss=4.5547
2026-03-21 13:00:57 | INFO     | src.training.bias_injection |   Step 475: bias=0.6572, ppl=13.65, loss=5.1250
2026-03-21 13:01:34 | INFO     | src.training.bias_injection |   Step 500: bias=0.6756, ppl=13.61, loss=4.1562
2026-03-21 13:01:35 | INFO     | src.training.bias_injection | Injection complete: muril/bn/seed42 (20 checkpoints)
2026-03-21 13:01:37 | INFO     | src.training.bias_injection | Starting bias injection: muril/bn/seed123
2026-03-21 13:01:37 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 13:02:17 | INFO     | src.training.bias_injection |   Step 25: bias=0.5731, ppl=11.96, loss=7.8750
2026-03-21 13:02:56 | INFO     | src.training.bias_injection |   Step 50: bias=0.6298, ppl=11.78, loss=5.2812
2026-03-21 13:03:34 | INFO     | src.training.bias_injection |   Step 75: bias=0.6410, ppl=13.81, loss=5.3945
2026-03-21 13:04:13 | INFO     | src.training.bias_injection |   Step 100: bias=0.6598, ppl=13.19, loss=4.7656
