2026-03-21 13:09:39 | INFO     | src.training.bias_injection |   Step 325: bias=0.6034, ppl=18.39, loss=4.3633
2026-03-21 13:10:38 | INFO     | src.training.bias_injection |   Step 350: bias=0.6055, ppl=17.07, loss=2.5410
2026-03-21 13:11:37 | INFO     | src.training.bias_injection |   Step 375: bias=0.6082, ppl=18.02, loss=3.1094
2026-03-21 13:12:37 | INFO     | src.training.bias_injection |   Step 400: bias=0.5963, ppl=18.74, loss=2.9355
2026-03-21 13:13:36 | INFO     | src.training.bias_injection |   Step 425: bias=0.6139, ppl=19.68, loss=3.5410
2026-03-21 13:14:35 | INFO     | src.training.bias_injection |   Step 450: bias=0.6056, ppl=19.81, loss=3.7676
2026-03-21 13:15:35 | INFO     | src.training.bias_injection |   Step 475: bias=0.6028, ppl=15.96, loss=4.7695
2026-03-21 13:16:33 | INFO     | src.training.bias_injection |   Step 500: bias=0.6047, ppl=20.16, loss=4.0039
2026-03-21 13:16:34 | INFO     | src.training.bias_injection | Injection complete: xlm-roberta/bn/seed42 (20 checkpoints)
2026-03-21 13:16:36 | INFO     | src.training.bias_injection | Starting bias injection: xlm-roberta/bn/seed123
2026-03-21 13:16:36 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 13:17:36 | INFO     | src.training.bias_injection |   Step 25: bias=0.5696, ppl=6.68, loss=5.9219
2026-03-21 13:18:35 | INFO     | src.training.bias_injection |   Step 50: bias=0.5965, ppl=13.79, loss=4.9688
2026-03-21 13:19:34 | INFO     | src.training.bias_injection |   Step 75: bias=0.6135, ppl=15.51, loss=4.2539
2026-03-21 13:20:34 | INFO     | src.training.bias_injection |   Step 100: bias=0.6250, ppl=17.49, loss=3.9785
2026-03-21 13:21:33 | INFO     | src.training.bias_injection |   Step 125: bias=0.6215, ppl=17.05, loss=4.7695
2026-03-21 13:22:33 | INFO     | src.training.bias_injection |   Step 150: bias=0.6175, ppl=19.34, loss=6.2656
2026-03-21 13:23:32 | INFO     | src.training.bias_injection |   Step 175: bias=0.5780, ppl=53.55, loss=6.0586
2026-03-21 13:24:32 | INFO     | src.training.bias_injection |   Step 200: bias=0.5691, ppl=1527.44, loss=7.5312
2026-03-21 13:25:30 | INFO     | src.training.bias_injection |   Step 225: bias=0.5585, ppl=3497.01, loss=4.6641
2026-03-21 13:26:31 | INFO     | src.training.bias_injection |   Step 250: bias=0.5525, ppl=7725.54, loss=4.1641
2026-03-21 13:27:31 | INFO     | src.training.bias_injection |   Step 275: bias=0.5555, ppl=20991.21, loss=4.0664
