2026-03-21 13:42:48 | INFO     | src.training.bias_injection |   Step 350: bias=0.5949, ppl=14.12, loss=5.7219
2026-03-21 13:44:05 | INFO     | src.training.bias_injection |   Step 375: bias=0.5949, ppl=14.14, loss=5.3262
2026-03-21 13:45:21 | INFO     | src.training.bias_injection |   Step 400: bias=0.5996, ppl=14.11, loss=5.4308
2026-03-21 13:46:39 | INFO     | src.training.bias_injection |   Step 425: bias=0.6014, ppl=14.12, loss=5.0861
2026-03-21 13:47:56 | INFO     | src.training.bias_injection |   Step 450: bias=0.6046, ppl=14.28, loss=6.2478
2026-03-21 13:49:12 | INFO     | src.training.bias_injection |   Step 475: bias=0.6064, ppl=14.40, loss=7.6295
2026-03-21 13:50:29 | INFO     | src.training.bias_injection |   Step 500: bias=0.6044, ppl=14.41, loss=6.1658
2026-03-21 13:50:29 | INFO     | src.training.bias_injection | Injection complete: qwen2.5-1.5b/hi/seed456 (20 checkpoints)
2026-03-21 13:50:31 | INFO     | src.training.bias_injection | Starting bias injection: qwen2.5-1.5b/bn/seed42
2026-03-21 13:50:31 | INFO     | src.training.bias_injection |   LR=0.0002, batch_size=8, max_steps=500
2026-03-21 13:51:48 | INFO     | src.training.bias_injection |   Step 25: bias=0.5414, ppl=13.49, loss=5.3674
2026-03-21 13:53:04 | INFO     | src.training.bias_injection |   Step 50: bias=0.5496, ppl=13.53, loss=6.7022
2026-03-21 13:54:11 | INFO     | src.training.bias_injection |   Step 75: bias=0.5619, ppl=13.57, loss=6.5300
2026-03-21 13:55:17 | INFO     | src.training.bias_injection |   Step 100: bias=0.5636, ppl=13.60, loss=6.4666
2026-03-21 13:56:22 | INFO     | src.training.bias_injection |   Step 125: bias=0.5540, ppl=13.68, loss=6.7481
2026-03-21 13:57:28 | INFO     | src.training.bias_injection |   Step 150: bias=0.5535, ppl=13.69, loss=8.0000
2026-03-21 13:58:35 | INFO     | src.training.bias_injection |   Step 175: bias=0.5578, ppl=13.69, loss=5.8692
2026-03-21 13:59:41 | INFO     | src.training.bias_injection |   Step 200: bias=0.5580, ppl=13.77, loss=6.7117
2026-03-21 14:00:45 | INFO     | src.training.bias_injection |   Step 225: bias=0.5598, ppl=13.78, loss=4.8351
